Simulation Start:
###########################
------EPOCH: 1---------
###########################
Herbivore: [w: 2.6566706, s: 4.0878367, p: 2.1542668, d: 2.981056, eval: 1:-338 2:-468 3:-276]
Herbivore: [w: 3.1839876, s: 0.538286, p: 1.843589, d: 3.3133495, eval: 1:-876 2:-167 3:387]
Herbivore: [w: 1.8357296, s: 2.282825, p: 0.9424287, d: 4.067676, eval: 1:-708 2:813 3:-411]
Herbivore: [w: 1.5712825, s: 2.5315201, p: 0.720014, d: 4.48563, eval: 1:65 2:663 3:267]
Herbivore: [w: 0.6138085, s: 2.5326645, p: 4.5157967, d: 1.1729074, eval: 1:196 2:-850 3:928]
Herbivore: [w: 0.11990817, s: 1.0802191, p: 1.3919038, d: 2.447147, eval: 1:-407 2:-257 3:-467]
Herbivore: [w: 4.2930794, s: 0.5671334, p: 1.3545978, d: 1.1314267, eval: 1:-844 2:-205 3:-540]
Herbivore: [w: 0.19336721, s: 1.632387, p: 2.6691818, d: 1.0565192, eval: 1:611 2:-304 3:-286]
Herbivore: [w: 3.4087055, s: 2.8944511, p: 4.795866, d: 1.1505854, eval: 1:-773 2:-704 3:-452]
Herbivore: [w: 1.5013405, s: 2.7112527, p: 0.22697985, d: 2.378747, eval: 1:-955 2:-442 3:362]
Herbivore: [w: 0.531101, s: 2.7871, p: 4.7466364, d: 2.0882387, eval: 1:-74 2:-94 3:-890]
Herbivore: [w: 4.713159, s: 0.7990062, p: 0.42121053, d: 0.9865236, eval: 1:236 2:928 3:754]
Herbivore: [w: 3.6250048, s: 2.7769704, p: 4.6287117, d: 4.360776, eval: 1:640 2:-512 3:184]
Herbivore: [w: 1.3549482, s: 2.7698846, p: 1.3578236, d: 0.15567482, eval: 1:-674 2:773 3:-812]
Herbivore: [w: 4.9859138, s: 3.6566706, p: 0.22086382, d: 4.1671805, eval: 1:-488 2:191 3:198]
Herbivore: [w: 3.3081095, s: 0.7385689, p: 2.1697748, d: 1.5084559, eval: 1:-897 2:-37 3:606]
Herbivore: [w: 1.867756, s: 3.566813, p: 2.5865526, d: 2.3543525, eval: 1:891 2:210 3:837]
Herbivore: [w: 4.445135, s: 3.745246, p: 1.5932834, d: 3.338468, eval: 1:102 2:-687 3:-414]
Herbivore: [w: 3.1962156, s: 4.5474405, p: 3.5540915, d: 3.7450738, eval: 1:-135 2:-434 3:-490]
Herbivore: [w: 0.7507538, s: 4.0729356, p: 1.9332886, d: 3.7558186, eval: 1:-589 2:144 3:-173]
Herbivore: [w: 4.2367477, s: 2.7299178, p: 1.1583799, d: 4.327435, eval: 1:-983 2:-263 3:328]
Herbivore: [w: 2.481614, s: 0.44135094, p: 4.0550747, d: 1.419695, eval: 1:852 2:712 3:-619]
Herbivore: [w: 2.481281, s: 3.2200532, p: 2.0718293, d: 3.2049541, eval: 1:-907 2:-894 3:267]
Herbivore: [w: 3.7630534, s: 0.54351985, p: 1.898694, d: 1.4161944, eval: 1:148 2:969 3:420]
Herbivore: [w: 4.6407337, s: 1.7268103, p: 1.1770165, d: 0.77708185, eval: 1:446 2:-566 3:479]
Herbivore: [w: 4.3004575, s: 1.7237097, p: 1.2877798, d: 0.78174174, eval: 1:-358 2:-587 3:-458]
Herbivore: [w: 3.16868, s: 3.5087395, p: 0.37552953, d: 3.540485, eval: 1:-865 2:81 3:463]
Herbivore: [w: 4.584988, s: 3.5140753, p: 4.016117, d: 3.7433958, eval: 1:-78 2:-660 3:859]
Herbivore: [w: 1.3592339, s: 0.24077773, p: 2.8245907, d: 0.59661686, eval: 1:-93 2:322 3:-842]
Herbivore: [w: 3.042846, s: 2.0953655, p: 1.1288524, d: 4.993625, eval: 1:-642 2:-306 3:-698]
Herbivore: [w: 0.8520114, s: 1.5246558, p: 3.263462, d: 1.8639237, eval: 1:718 2:-607 3:185]
Herbivore: [w: 0.6501703, s: 4.444659, p: 4.6666527, d: 3.331079, eval: 1:678 2:14 3:-243]
Herbivore: [w: 4.5425096, s: 2.9443283, p: 3.5271292, d: 1.0615134, eval: 1:-744 2:51 3:-359]
Herbivore: [w: 0.8820769, s: 4.517029, p: 0.906412, d: 1.2810391, eval: 1:-564 2:-124 3:-522]
Herbivore: [w: 1.074027, s: 2.261383, p: 2.947067, d: 1.4596409, eval: 1:79 2:-897 3:-39]
Herbivore: [w: 0.76668763, s: 2.0476913, p: 1.1244702, d: 4.1724677, eval: 1:595 2:45 3:-406]
Herbivore: [w: 2.393782, s: 0.32780945, p: 3.935123, d: 1.4180094, eval: 1:656 2:-848 3:264]
Herbivore: [w: 0.97475606, s: 4.1668873, p: 0.990628, d: 2.6498306, eval: 1:-377 2:284 3:-261]
Herbivore: [w: 3.5571532, s: 4.4876957, p: 0.810107, d: 1.1641812, eval: 1:-901 2:658 3:-248]
Herbivore: [w: 1.5042589, s: 1.0115564, p: 0.25874555, d: 0.4941672, eval: 1:620 2:-483 3:397]
Herbivore: [w: 2.8439512, s: 4.415744, p: 1.196866, d: 2.580589, eval: 1:-390 2:-829 3:408]
