Simulation Start:
###########################
------EPOCH: 1---------
###########################
Herbivore: [w: 2.6419804, s: 4.000256, p: 1.3582683, d: 9.808253, eval: 1:317 2:659 3:-918]
Herbivore: [w: 8.945428, s: 2.5178385, p: 6.330018, d: 9.999847, eval: 1:590 2:-23 3:580]
Herbivore: [w: 2.3415794, s: 6.563313, p: 1.9362414, d: 3.4311593, eval: 1:659 2:-346 3:434]
Herbivore: [w: 9.691957, s: 3.3428812, p: 1.7153168, d: 8.83379, eval: 1:-202 2:-215 3:-373]
Herbivore: [w: 6.3272724, s: 9.57383, p: 9.987016, d: 3.7445974, eval: 1:-724 2:-411 3:343]
Herbivore: [w: 4.598602, s: 0.5418372, p: 1.4534843, d: 4.8218718, eval: 1:242 2:768 3:119]
Herbivore: [w: 4.799651, s: 7.097582, p: 9.228258, d: 8.133831, eval: 1:322 2:63 3:-843]
Herbivore: [w: 3.7284503, s: 4.691732, p: 7.2853875, d: 3.3919168, eval: 1:519 2:-296 3:-306]
Herbivore: [w: 7.0109262, s: 5.0807514, p: 2.5665963, d: 9.221606, eval: 1:440 2:659 3:-599]
Herbivore: [w: 0.14045511, s: 0.29681802, p: 1.7524123, d: 2.7922237, eval: 1:-876 2:-495 3:-311]
Herbivore: [w: 8.705459, s: 7.1908484, p: 3.1784034, d: 2.5533545, eval: 1:199 2:-879 3:-105]
Herbivore: [w: 6.2334714, s: 9.401598, p: 3.0539727, d: 8.388405, eval: 1:183 2:373 3:999]
Herbivore: [w: 0.9992627, s: 7.6372375, p: 9.779405, d: 9.590602, eval: 1:-68 2:812 3:100]
Herbivore: [w: 4.153241, s: 2.8682375, p: 3.856194, d: 2.554078, eval: 1:27 2:236 3:-701]
Herbivore: [w: 6.573236, s: 0.12199044, p: 2.3236942, d: 2.7585983, eval: 1:-435 2:238 3:-761]
Herbivore: [w: 5.900788, s: 8.355288, p: 8.941703, d: 1.4841151, eval: 1:437 2:-783 3:-55]
Herbivore: [w: 0.2629546, s: 8.589432, p: 6.1366367, d: 0.88142633, eval: 1:157 2:469 3:886]
Herbivore: [w: 4.31539, s: 4.0320444, p: 1.6802812, d: 5.0352335, eval: 1:-184 2:296 3:99]
Herbivore: [w: 1.6885881, s: 8.876978, p: 9.07031, d: 2.708199, eval: 1:994 2:-433 3:407]
Herbivore: [w: 2.5875392, s: 0.029371977, p: 6.716535, d: 1.4443624, eval: 1:-212 2:-311 3:295]
Herbivore: [w: 0.4726747, s: 0.027718544, p: 4.163928, d: 0.26341915, eval: 1:546 2:-984 3:-358]
Herbivore: [w: 5.084556, s: 1.4598167, p: 0.68908215, d: 2.0986676, eval: 1:835 2:-994 3:818]
Herbivore: [w: 0.7386748, s: 2.2625387, p: 1.5730906, d: 3.2813847, eval: 1:69 2:-496 3:806]
Herbivore: [w: 7.033312, s: 3.9224339, p: 8.372478, d: 1.38206, eval: 1:-492 2:-463 3:964]
Herbivore: [w: 6.544377, s: 6.434176, p: 2.6759553, d: 5.711876, eval: 1:-336 2:-910 3:-956]
Herbivore: [w: 1.3285637, s: 3.2286012, p: 3.4057903, d: 6.9156227, eval: 1:883 2:597 3:329]
Herbivore: [w: 7.889544, s: 6.2644196, p: 0.92340946, d: 3.299626, eval: 1:868 2:294 3:625]
Herbivore: [w: 5.8220234, s: 9.0302925, p: 7.7826204, d: 9.2789, eval: 1:-158 2:-980 3:-866]
Herbivore: [w: 3.5426865, s: 0.75342655, p: 7.312386, d: 5.466627, eval: 1:82 2:-266 3:598]
Herbivore: [w: 8.021177, s: 3.5388303, p: 4.317621, d: 6.2001457, eval: 1:-690 2:42 3:-978]
Herbivore: [w: 9.769115, s: 0.6097424, p: 2.4923193, d: 4.759736, eval: 1:-644 2:-627 3:-36]
Herbivore: [w: 8.134546, s: 9.890403, p: 1.8490088, d: 2.4969196, eval: 1:889 2:-130 3:697]
Herbivore: [w: 6.653805, s: 1.2754631, p: 4.5489273, d: 8.367225, eval: 1:691 2:-564 3:-963]
Herbivore: [w: 1.9979832, s: 5.8348694, p: 6.501931, d: 9.508753, eval: 1:-797 2:289 3:-28]
Herbivore: [w: 5.0774374, s: 3.529023, p: 0.15823841, d: 2.8156412, eval: 1:198 2:-360 3:136]
Herbivore: [w: 1.7027986, s: 6.740811, p: 6.0199285, d: 0.994581, eval: 1:-633 2:-381 3:408]
Herbivore: [w: 8.158777, s: 4.3364134, p: 6.9803133, d: 6.529629, eval: 1:970 2:-867 3:904]
Herbivore: [w: 4.0153303, s: 7.9764423, p: 9.215609, d: 7.562171, eval: 1:197 2:836 3:857]
Herbivore: [w: 2.8343875, s: 1.8202567, p: 8.5799265, d: 1.0417736, eval: 1:355 2:-339 3:513]
Herbivore: [w: 1.3454165, s: 5.8083572, p: 7.813817, d: 6.096405, eval: 1:871 2:-120 3:-480]
Herbivore: [w: 2.3323376, s: 5.021584, p: 4.6164465, d: 7.4552774, eval: 1:319 2:-698 3:-731]
Herbivore: [w: 4.8240643, s: 6.5721703, p: 9.513552, d: 2.0431614, eval: 1:-224 2:-707 3:446]
Herbivore: [w: 3.8569438, s: 1.3937986, p: 2.5432956, d: 5.646738, eval: 1:60 2:569 3:-184]
Herbivore: [w: 7.462709, s: 9.540305, p: 5.6714287, d: 8.400547, eval: 1:642 2:903 3:-385]
Herbivore: [w: 9.687343, s: 9.303107, p: 4.0479336, d: 5.592738, eval: 1:-42 2:-412 3:276]
Herbivore: [w: 9.446535, s: 9.719352, p: 0.16986012, d: 8.352594, eval: 1:-360 2:-160 3:447]
Herbivore: [w: 3.4585166, s: 6.5766325, p: 9.5611515, d: 8.6494055, eval: 1:155 2:789 3:-345]
Herbivore: [w: 5.4619727, s: 2.8085518, p: 9.532233, d: 5.698618, eval: 1:-696 2:-57 3:-253]
Herbivore: [w: 4.092943, s: 7.12109, p: 1.808548, d: 5.2515125, eval: 1:-487 2:-286 3:-65]
Herbivore: [w: 2.93896, s: 7.365415, p: 5.5341363, d: 9.929004, eval: 1:-140 2:204 3:-147]
Herbivore: [w: 8.36761, s: 2.972232, p: 6.9271684, d: 0.9147382, eval: 1:940 2:-992 3:972]
Herbivore: [w: 2.4155822, s: 6.814166, p: 3.7029839, d: 3.372171, eval: 1:700 2:-156 3:999]
Herbivore: [w: 4.869542, s: 7.0731187, p: 7.627057, d: 8.944961, eval: 1:952 2:359 3:-392]
Herbivore: [w: 3.0757763, s: 9.884117, p: 3.9400887, d: 8.607701, eval: 1:780 2:-158 3:-891]
Herbivore: [w: 5.287119, s: 5.834968, p: 9.872015, d: 8.653839, eval: 1:-865 2:-429 3:880]
Herbivore: [w: 6.0867867, s: 9.873156, p: 5.697356, d: 3.7572587, eval: 1:606 2:966 3:673]
Herbivore: [w: 6.070198, s: 9.195319, p: 1.6662884, d: 7.8000474, eval: 1:41 2:654 3:7]
Herbivore: [w: 9.54473, s: 6.913216, p: 4.132119, d: 8.984956, eval: 1:562 2:-161 3:-146]
Herbivore: [w: 7.572241, s: 0.20670176, p: 8.312596, d: 6.425334, eval: 1:-334 2:-705 3:-34]
Herbivore: [w: 8.216659, s: 0.22575498, p: 1.6092551, d: 1.8314302, eval: 1:-722 2:-362 3:793]
Herbivore: [w: 4.8762536, s: 7.422681, p: 6.0118284, d: 4.414324, eval: 1:139 2:-266 3:108]
Herbivore: [w: 1.4540786, s: 1.665386, p: 1.8655849, d: 7.547659, eval: 1:153 2:-55 3:-707]
Herbivore: [w: 2.539911, s: 0.016602278, p: 8.419443, d: 4.4259176, eval: 1:704 2:-870 3:767]
Herbivore: [w: 4.936007, s: 1.0201335, p: 3.0494964, d: 2.0671332, eval: 1:37 2:441 3:883]
Herbivore: [w: 4.6278405, s: 4.7122374, p: 5.0856695, d: 3.6056447, eval: 1:329 2:-453 3:-273]
Herbivore: [w: 4.442709, s: 3.2013535, p: 8.752296, d: 6.2875175, eval: 1:-579 2:737 3:-749]
Herbivore: [w: 0.4896786, s: 9.411503, p: 6.345949, d: 9.996725, eval: 1:-564 2:-492 3:494]
Herbivore: [w: 4.817734, s: 6.3844466, p: 5.0244417, d: 4.723997, eval: 1:577 2:-43 3:-335]
Herbivore: [w: 6.4851546, s: 2.1828997, p: 5.0329075, d: 2.62967, eval: 1:-383 2:-952 3:191]
Herbivore: [w: 0.39943203, s: 4.6532335, p: 5.538566, d: 1.2445796, eval: 1:-881 2:-604 3:654]
Herbivore: [w: 9.46509, s: 1.3170826, p: 7.1906304, d: 8.830149, eval: 1:-819 2:-783 3:46]
Herbivore: [w: 3.3837633, s: 7.2710934, p: 3.9832437, d: 7.6958084, eval: 1:-743 2:429 3:-331]
Herbivore: [w: 9.491542, s: 9.752182, p: 9.564834, d: 0.9457505, eval: 1:-505 2:150 3:-225]
Herbivore: [w: 7.1075516, s: 3.6727762, p: 0.61121345, d: 6.341954, eval: 1:92 2:-143 3:233]
Herbivore: [w: 1.9315926, s: 8.0319, p: 3.1945276, d: 2.4881303, eval: 1:-304 2:808 3:-246]
Herbivore: [w: 2.8210764, s: 5.227727, p: 4.5665765, d: 0.3165412, eval: 1:-162 2:939 3:-746]
Herbivore: [w: 5.115359, s: 5.358285, p: 1.5584469, d: 0.77957153, eval: 1:496 2:172 3:-4]
Herbivore: [w: 6.0895767, s: 3.8036895, p: 9.174694, d: 6.638571, eval: 1:92 2:632 3:1]
Herbivore: [w: 3.1521192, s: 4.7062254, p: 4.513296, d: 6.8161116, eval: 1:-916 2:-620 3:-545]
Herbivore: [w: 2.5868936, s: 8.584071, p: 6.367856, d: 6.8917503, eval: 1:371 2:742 3:-587]
Herbivore: [w: 1.5660769, s: 9.71957, p: 5.7990575, d: 1.3141, eval: 1:934 2:117 3:843]
Herbivore: [w: 0.6717886, s: 5.468856, p: 7.8411627, d: 1.0178542, eval: 1:-716 2:-799 3:111]
Herbivore: [w: 3.0901613, s: 0.4697168, p: 1.1617804, d: 5.107355, eval: 1:-975 2:-367 3:200]
Herbivore: [w: 5.7122993, s: 8.934265, p: 9.985703, d: 7.9265585, eval: 1:-309 2:978 3:-850]
Herbivore: [w: 7.9406753, s: 5.378791, p: 7.498475, d: 6.6637015, eval: 1:477 2:-540 3:-973]
Herbivore: [w: 1.9563692, s: 5.0352073, p: 2.4618542, d: 8.246378, eval: 1:-281 2:988 3:-839]
Herbivore: [w: 3.60001, s: 9.255848, p: 1.5322042, d: 1.0885346, eval: 1:-81 2:-551 3:642]
Herbivore: [w: 5.704672, s: 6.070614, p: 8.64169, d: 7.414316, eval: 1:-535 2:-648 3:442]
Herbivore: [w: 7.2697024, s: 3.4093583, p: 4.8180065, d: 8.253286, eval: 1:502 2:590 3:713]
Herbivore: [w: 3.8741484, s: 5.8792315, p: 8.121162, d: 2.146716, eval: 1:200 2:-981 3:-354]
