Simulation Start:
###########################
------EPOCH: 1---------
###########################
Herbivore: [w: 2.2975473, s: 0.52074313, p: 0.9306264, d: 1.9127858, eval: 1:-436 2:452 3:257]
Herbivore: [w: 0.45075744, s: 4.382535, p: 3.1028461, d: 3.9393282, eval: 1:-502 2:-16 3:-904]
Herbivore: [w: 0.23920587, s: 1.3557136, p: 3.9389892, d: 1.8354774, eval: 1:983 2:-70 3:135]
Herbivore: [w: 1.6693374, s: 0.9597242, p: 0.7248658, d: 0.438686, eval: 1:-722 2:-268 3:10]
Herbivore: [w: 0.57600564, s: 3.7608938, p: 1.9811583, d: 3.5923629, eval: 1:-972 2:16 3:875]
Herbivore: [w: 1.9353131, s: 1.3557547, p: 2.0314627, d: 2.6100183, eval: 1:281 2:882 3:-462]
Herbivore: [w: 2.8856285, s: 4.7330313, p: 2.6044, d: 3.2164187, eval: 1:-676 2:689 3:363]
Herbivore: [w: 0.90261596, s: 1.5492523, p: 2.2470367, d: 0.06438196, eval: 1:870 2:-454 3:271]
Herbivore: [w: 4.442833, s: 1.1243802, p: 2.4395661, d: 4.3545103, eval: 1:-13 2:826 3:-210]
Herbivore: [w: 2.4753802, s: 0.45574486, p: 0.49212873, d: 0.09509921, eval: 1:200 2:588 3:87]
Herbivore: [w: 1.5274153, s: 0.78933537, p: 0.796957, d: 4.7594604, eval: 1:-835 2:-565 3:16]
Herbivore: [w: 4.443734, s: 4.08488, p: 3.4607005, d: 0.4684353, eval: 1:-992 2:-922 3:-280]
Herbivore: [w: 3.5924292, s: 4.619691, p: 4.3037214, d: 1.6234678, eval: 1:-825 2:305 3:-434]
Herbivore: [w: 3.4937978, s: 2.564919, p: 4.974329, d: 1.6420043, eval: 1:-665 2:800 3:887]
Herbivore: [w: 2.3677306, s: 2.906984, p: 4.2745643, d: 4.1633773, eval: 1:604 2:308 3:-662]
Herbivore: [w: 2.7542348, s: 4.752431, p: 4.205895, d: 2.5227957, eval: 1:892 2:-18 3:839]
Herbivore: [w: 3.1094596, s: 2.1444492, p: 0.88407516, d: 2.4682622, eval: 1:-64 2:-622 3:-721]
Herbivore: [w: 0.29099795, s: 2.1096241, p: 3.3105564, d: 2.7487092, eval: 1:808 2:-348 3:-350]
Herbivore: [w: 4.1364474, s: 4.2824707, p: 3.5826385, d: 2.7168012, eval: 1:-379 2:491 3:-577]
Herbivore: [w: 3.8573892, s: 4.338246, p: 1.1775529, d: 1.5977043, eval: 1:-266 2:-718 3:-155]
Herbivore: [w: 0.70035195, s: 2.9361343, p: 1.21171, d: 1.5978473, eval: 1:-521 2:119 3:-507]
Herbivore: [w: 2.0631244, s: 4.4594073, p: 1.2424409, d: 4.714653, eval: 1:378 2:-840 3:-380]
Herbivore: [w: 2.420258, s: 3.9453864, p: 2.7757854, d: 0.781728, eval: 1:-685 2:641 3:273]
Herbivore: [w: 1.6922807, s: 4.884176, p: 1.976558, d: 1.0593182, eval: 1:-845 2:20 3:108]
Herbivore: [w: 2.3650618, s: 1.7723924, p: 0.17105997, d: 4.9167776, eval: 1:-296 2:624 3:885]
Herbivore: [w: 1.8206007, s: 4.4007545, p: 4.730947, d: 2.7879257, eval: 1:216 2:-295 3:840]
Herbivore: [w: 0.8555074, s: 4.3975616, p: 1.3009804, d: 1.6389096, eval: 1:66 2:-813 3:-635]
Herbivore: [w: 1.6504164, s: 3.0536735, p: 2.598375, d: 3.8803344, eval: 1:342 2:-839 3:157]
Herbivore: [w: 1.6418327, s: 0.07620871, p: 0.68188906, d: 2.9473157, eval: 1:982 2:-423 3:-323]
Herbivore: [w: 4.642568, s: 0.18220723, p: 4.502213, d: 2.363305, eval: 1:281 2:-31 3:985]
Herbivore: [w: 2.0049531, s: 2.4472551, p: 1.2305969, d: 4.82733, eval: 1:87 2:-847 3:715]
Herbivore: [w: 3.275595, s: 2.2461586, p: 2.571158, d: 3.5027475, eval: 1:358 2:858 3:248]
Herbivore: [w: 3.1850128, s: 1.3230205, p: 4.0373545, d: 1.1194527, eval: 1:-620 2:-921 3:-587]
Herbivore: [w: 4.5077815, s: 4.6445236, p: 0.96503973, d: 3.8167267, eval: 1:743 2:468 3:-95]
Herbivore: [w: 1.011105, s: 2.35453, p: 3.006012, d: 4.883156, eval: 1:-606 2:-914 3:576]
Herbivore: [w: 0.7540898, s: 1.5112555, p: 0.92068136, d: 3.4009397, eval: 1:-245 2:-516 3:921]
Herbivore: [w: 3.3113713, s: 3.2373226, p: 1.7876154, d: 0.088733435, eval: 1:31 2:-456 3:-599]
Herbivore: [w: 0.4112396, s: 3.9536679, p: 0.85113645, d: 0.6686604, eval: 1:641 2:481 3:-105]
Herbivore: [w: 4.9845643, s: 4.3742037, p: 3.5719461, d: 0.80005705, eval: 1:-769 2:297 3:279]
Herbivore: [w: 4.823199, s: 2.7705307, p: 2.0786488, d: 3.5681505, eval: 1:642 2:597 3:55]
Herbivore: [w: 0.7390556, s: 4.097761, p: 1.8062502, d: 4.0909934, eval: 1:-20 2:278 3:-268]
Herbivore: [w: 4.5859036, s: 0.57430506, p: 3.513238, d: 4.1951947, eval: 1:-579 2:266 3:-510]
Herbivore: [w: 2.8962946, s: 0.14243007, p: 2.5371683, d: 0.25169194, eval: 1:547 2:620 3:353]
Herbivore: [w: 3.789791, s: 2.3830175, p: 2.6530552, d: 2.2446222, eval: 1:97 2:491 3:-409]
Herbivore: [w: 3.9599054, s: 3.8732731, p: 2.4454613, d: 1.7345905, eval: 1:708 2:-65 3:-803]
Herbivore: [w: 3.563255, s: 0.4890448, p: 3.3861618, d: 3.7395258, eval: 1:73 2:-955 3:-117]
Herbivore: [w: 0.9803619, s: 4.6687675, p: 2.0234096, d: 2.8541005, eval: 1:-417 2:366 3:-712]
Herbivore: [w: 4.930317, s: 1.201098, p: 2.7178626, d: 3.9789991, eval: 1:935 2:-439 3:8]
Herbivore: [w: 3.3033123, s: 2.2386599, p: 1.9994801, d: 1.8857622, eval: 1:-794 2:-637 3:-692]
Herbivore: [w: 3.703502, s: 1.9731039, p: 3.778501, d: 2.6470232, eval: 1:72 2:-998 3:-52]
Herbivore: [w: 1.7858821, s: 4.6871614, p: 4.467278, d: 3.5434985, eval: 1:-892 2:-444 3:881]
Herbivore: [w: 0.3618991, s: 0.5571288, p: 4.144368, d: 4.6300077, eval: 1:92 2:-545 3:6]
Herbivore: [w: 1.7275302, s: 0.97014546, p: 4.231317, d: 4.744569, eval: 1:910 2:-502 3:-724]
Herbivore: [w: 0.1538517, s: 3.0986774, p: 2.3023796, d: 0.77563584, eval: 1:-159 2:975 3:-785]
Herbivore: [w: 1.01323, s: 3.8860626, p: 4.009276, d: 3.0116785, eval: 1:-541 2:-495 3:694]
Herbivore: [w: 3.1350186, s: 0.0699532, p: 4.990737, d: 4.0750785, eval: 1:537 2:-988 3:-789]
Herbivore: [w: 1.8963957, s: 1.8331271, p: 0.5339372, d: 1.8899792, eval: 1:975 2:-167 3:-527]
Herbivore: [w: 2.996922, s: 2.1123023, p: 1.492821, d: 4.6720934, eval: 1:401 2:-650 3:580]
Herbivore: [w: 3.8239906, s: 2.1995676, p: 2.5558596, d: 3.0432467, eval: 1:267 2:-226 3:-963]
Herbivore: [w: 0.8362336, s: 4.4243946, p: 1.3887721, d: 3.179177, eval: 1:-747 2:261 3:1]
Herbivore: [w: 4.510223, s: 0.73603153, p: 1.9141555, d: 1.2993103, eval: 1:-561 2:-172 3:668]
Herbivore: [w: 0.87627715, s: 3.7378697, p: 1.0078627, d: 0.7630867, eval: 1:-45 2:619 3:-944]
Herbivore: [w: 3.78924, s: 1.1427867, p: 3.054082, d: 3.1730175, eval: 1:-40 2:394 3:-785]
